akstsimá'tsisa,akstsimá'tsis2,akstsimá'tsis2,akstsimá'tsis2,NA,,"pers, elsewhere assumed"
ámaohksikima,ámaohksikim,ámaohksikim,ámaohksikim,NA,,"pers, elsewhere assumed"
amokapistaa'tsisa,amokapistaa'tsis2,amokapistaa'tsis2,amokapistaa'tsis2,NA,,s2 assumed
anááyiwa,anááyi,anááyi,anááyi,NA,,"pers, elsewhere assumed"
áóhkanohkimaiksiwa,áóhkanohkimaiksi,áóhkanohkimaiksi,áóhkanohkimaiksi,NA,,plural
aohkiókiinimaawa,aohkiókiinimaa,aohkiókiinimaa,aohkiókiinimaa,NA,,"pers, elsewhere assumed"
aohkiómahkohsiiksikapaanssiwa,aohkiómahkohsiiksikapaanssi,aohkiómahkohsiiksikapaanssi,aohkiómahkohsiiksikapaanssi,NA,,"pers, elsewhere assumed"
áóhko'kakinápikssiwa,áóhko'kakinápikssi,áóhko'kakinápikssi,áóhko'kakinápikssi,NA,,"pers, elsewhere assumed"
áóhpattsóótsiiyiiksiwa,áóhpattsóótsiiyiiksi,áóhpattsóótsiiyiiksi,áóhpattsóótsiiyiiksi,NA,,plural
áóhpo'kiaa'paissiwa,áóhpo'kiaa'paissi,áóhpo'kiaa'paissi,áóhpo'kiaa'paissi,NA,,"pers, elsewhere assumed"
áóhpomaapiikoana,áóhpomaapiikoan2,áóhpomaapiikoan2,áóhpomaapiikoan2,NA,,"pers, elsewhere assumed"
áóhpomáópiiwa,áóhpomáópii,áóhpomáópii,áóhpomáópii,NA,,"pers, elsewhere assumed"
áókakihtsimaawa,áókakihtsimaa,áókakihtsimaa,áókakihtsimaa,NA,,"pers, elsewhere assumed"
áókakihtsimaisiiko'takiwa,áókakihtsimaisiiko'taki,áókakihtsimaisiiko'taki,áókakihtsimaisiiko'taki,NA,,"pers, elsewhere assumed"
áókaki'tsiwa,áókaki'tsi,áókaki'tsi,áókaki'tsi,NA,,"pers, elsewhere assumed"
áókooysskaawa,áókooysskaa,áókooysskaa,áókooysskaa,NA,,"pers, elsewhere assumed"
áókspipokowa,áókspipoko,áókspipoko,áókspipoko,NA,,"pers, elsewhere assumed"
áókstakiwa,áókstaki,áókstaki,áókstaki,NA,,"pers, elsewhere assumed"
áómatskahtakiwa,áómatskahtaki,áómatskahtaki,áómatskahtaki,NA,,"pers, elsewhere assumed"
áótahkááokayisa,áótahkááokayis,ótahkááokayis,áótahkááokayis,NA,,elsewhere assumed
áótahkóínaamma,áótahkóínaamm,ótahkóínaamm,áótahkóínaamm,NA,,pers assumed
áótotsóókiwa,áótotsóóki,áótotsóóki,áótotsóóki,NA,,"pers, elsewhere assumed"
áóttakiwa,áóttaki,áóttaki,áóttaki,NA,,"pers, elsewhere assumed"
apahsípokowa,apahsípoko,apahsípoko,apahsípoko,NA,,"pers, elsewhere assumed"
apahtóka,apahtók,%^SPopahtók,opahtók,NA,,elsewhere assumed
apahtó'kiiwa,apahtó'kii,apahtó'kii,apahtó'kii,NA,,initial variation unknown
apáksa'tsisa,apáksa'tsis2,%^SPipáksa'tsis2,opáksa'tsis2,NA,,
apaksísttohkáksaakina,apaksísttohkáksaakin2,apaksísttohkáksaakin2,apaksísttohkáksaakin2,NA,,initial variation unknown
apaksísttohkihkíníítsitapiikoana,apaksísttohkihkíníítsitapiikoan2,apaksísttohkihkíníítsitapiikoan2,apaksísttohkihkíníítsitapiikoan2,NA,,proper
apaksísttohksipokáí'staana,apaksísttohksipokáí'staan,apaksísttohksipokáí'staan,apaksísttohksipokáí'staan,NA,,initial variation unknown
apaksskióómiiwa,apaksskióómii,apaksskióómii,apaksskióómii,NA,,initial variation unknown
apániiwa,apánii,opánii,opánii,NA,,pers assumed
ápasstaamiinaamma,ápasstaamiinaamm,ápasstaamiinaamm,ápasstaamiinaamm,NA,,pers assumed
a'písa,a'pís2,o'pís2,o'pís2,NA,,elsewhere assumed
á'pistotookiwa,á'pistotooki,á'pistotooki,á'pistotooki,NA,,proper
apitsó'toyiwa,apitsó'toyi,apitsó'toyi,apitsó'toyi,NA,,"pers, elsewhere assumed"
apokaawa,apokaa,apokaa,apokaa,NA,,"pers, elsewhere assumed"
apoká'ssiniwa,apoká'ssini,apoká'ssini,apoká'ssini,NA,,"pers, elsewhere assumed"
apootstsiinaana,apootstsiinaan,apotstsiinaan,apootstsiinaan,NA,,possible typo?; elsewhere assumed
apssíwa,apssí,apssí,apssí,NA,,"pers, elsewhere assumed"
a'sa,a's,a's,a's,NA,,"pers, elsewhere assumed"
asáóhkama'tsisa,asáóhkama'tsis2,%^SPisáóhkama'tsis2,osáóhkama'tsis2,NA,,elsewhere assumed
asáóka'simma,asáóka'simm,asáóka'simm,asáóka'simm,NA,,"changed m to mm; pers, elsewhere assumed"
a'síítsiksimma,a'síítsiksimm,a'síítsiksimm,a'síítsiksimm,NA,,changed m to mm; pers assumed
asinaawa,asinaa,asinaa,asinaa,NA,,proper
a'sínnokawa,a'sínnoka,a'sínnoka,a'sínnoka,NA,,"pers, elsewhere assumed"
a'sipísa,a'sipís2,i'sipís2,i'sipís2,NA_IM,,elsewhere assumed
a'sisttsííksiinaawa,a'sisttsííksiinaa%^AIM,a'sisttsííksiinaa%^AIM,a'sisttsííksiinaa%^AIM,NA,,elsewhere assumed
a'sitápiwa,a'sitápi,a'sitápi,a'sitápi,NA,,"pers, elsewhere assumed"
asóótokiaawa,asóótokiaa,asóótokiaa,asóótokiaa,NA,,"pers, elsewhere assumed"
asó'tsiinaamaawa,asó'tsiinaamaa,asó'tsiinaamaa,asó'tsiinaamaa,NA,,"pers, elsewhere assumed"
atapííma,atapíím,atapíím,atapíím,NA,,elsewhere assumed
atapííma,,itapíím,itapíím,NA,,i2 unknown; elsewhere assumed
ató'ahsima,ató'ahsim,%^SPootó'ahsim,otó'ahsim,NA,,cf yáakotoahsimi
atohká'taana,atohká'taan,atohká'taan,atohká'taan,NA,,"person, elsewhere assumed"
átohká'tohtaana,átohká'tohtaan,átohká'tohtaan,átohká'tohtaan,NA,,doesn't exist
atokísa,atokís2,atokís2,atokís2,NA,,cf mootokís
atonáóksisa,atonáóksis2,otonáóksis2,otonáóksis2,NA,,elsewhere assumed
atsíínaisisttsiwa,atsíínaisisttsi,atsíínaisisttsi,atsíínaisisttsi,NA,,"pers, elsewhere assumed"
atsíínawa,atsíína,atsíína,atsíína,NA,,proper
atsísa,atsís2,%^SPatsís2,atsís2,NA,,elsewhere assumed
atsí'tsiwa,atsí'tsi,%^SPosí'tsi,otsí'tsi,NA,,"""mitten"""
átsi'tsiwa,átsi'tsi,átsi'tsi,átsi'tsi,NA,,"""pygmy owl"", pers assumed"
awaahkaniaakiwa,awaahkaniaaki,awaahkaniaaki,awaahkaniaaki,NA,,"pers, elsewhere assumed"
áwaamisskapataawa,áwaamisskapataa,áwaamisskapataa,áwaamisskapataa,NA,,"pers, elsewhere assumed"
áwaawahkao'tsiiwa,áwaawahkao'tsii,áwaawahkao'tsii,áwaawahkao'tsii,NA,,"pers, elsewhere assumed"
áwaawai'sskapiwa,áwaawai'sskapi,áwaawai'sskapi,áwaawai'sskapi,NA,,"pers, elsewhere assumed"
awáísstaama,awáísstaam,awáísstaam,awáísstaam,NA,,elsewhere assumed
awakáapikssa'tsisa,awakáapikssa'tsis2,awakáapikssa'tsis2,awakáapikssa'tsis2,NA,,elsewhere assumed
áwákaasiiki'soma,áwákaasiiki'som,áwákaasiiki'som,áwákaasiiki'som,NA,,proper
áwákaasiiwa,áwákaasii,áwákaasii,áwákaasii,NA,,pers assumed
awákksoopana,awákksoopan2,awákksoopan2,awákksoopan2,NA,,elsewhere assumed
awámma'tsisa,awámma'tsis2,awámma'tsis2,awámma'tsis2,NA,,changed m to mm; elsewhere assumed
awanáána,awanáán2,awanáán2,awanáán2,NA,,elsewhere assumed
awanáána,awanáán,awanáán,awanáán,NA,,elsewhere assumed
áwatoyiwa,áwatoyi,áwatoyi,áwatoyi,NA,,pers assumed
awó'taanooksisa,awó'taanooksis2,awó'taanooksis2,awó'taanooksis2,NA,,elsewhere assumed
ayaahkioohsiitapiwa,ayaahkioohsiitapi,ayaahkioohsiitapi,ayaahkioohsiitapi,NA,,proper
áyáaksisákiaakiwa,áyáaksisákiaaki,áyáaksisákiaaki,áyáaksisákiaaki,NA,,"pers, elsewhere assumed"
áyiinapaniiwa,áyiinapanii,áyiinapanii,áyiinapanii,NA,,"pers, elsewhere assumed"
ayíkinaana,ayíkinaan,ayíkinaan,ayíkinaan,NA,,elsewhere assumed
áyinnimaawa,áyinnimaa,áyinnimaa,áyinnimaa,NA,,"pers, elsewhere assumed"
ihksíkammiksiwa,ihksíkammiksi,ihksíkammiksi,ihksíkammiksi,NA,,i2 unknown; proper; plural
iihkanipihtsiwa,iihkanipihtsi,iihkanipihtsi,iihkanipihtsi,NA,,"i2 unknown; pers, elsewhere assumed"
iihpohsoa'tsiiwa,iihpohsoa'tsii,%^SPomohpohsoa'tsii,ohpohsoa'tsii,NA,,iihp variation assumed
iihpokaopiimotsiiyiwa,iihpokaopiimotsiiyi,%^SPomohpokaopiimotsiiyi,ohpokaopiimotsiiyi,NA,,iihp variation assumed
iihtáíhksoohpattsaakio'pa,iihtáíhksoohpattsaakio'p,,ohtáíhksoohpattsaakio'p,NA,"""@R.person.NULL@""",
iihtáíhksoohpattsaakio'pa,,%^SPomohtáíhksoohpattsaakssp,ohtáíhksoohpattsaakihp,NA,"""@D.person.NULL@""",
iihtáíkahksiststakio'pa,iihtáíkahksiststakio'p,,ohtáíkahksiststakio'p,NA,"""@R.person.NULL@""",
iihtáíkahksiststakio'pa,,%^SPomohtáíkahksiststakihp,ohtáíkahksiststakihp,NA,"""@D.person.NULL@""",
iihtáíkawai'piksistakio'pa,iihtáíkawai'piksistakio'p,,ohtáíkawai'piksistakio'p,NA,"""@R.person.NULL@""",
iihtáíkawai'piksistakio'pa,,%^SPomohtáíkawai'piksistakihp,ohtáíkawai'piksistakihp,NA,"""@D.person.NULL@""",
iihtáíkayinnakio'pa,iihtáíkayinnakio'p,,ohtáíkayinnakio'p,NA,"""@R.person.NULL@""",
iihtáíkayinnakio'pa,,%^SPomohtáíkayinnakihp,ohtáíkayinnakihp,NA,"""@D.person.NULL@""",
iihtáíkkamipii'poyo'pa,iihtáíkkamipii'poyo'p,,ohtáíkkamipii'poyo'p,NA,"""@R.person.NULL@""",
iihtáíkkamipii'poyo'pa,,%^SPomohtáíkkamipii'poyihp,ohtáíkkamipii'poyihp,NA,"""@D.person.NULL@""",
iihtáíkkiniihkimiksaakio'pa,iihtáíkkiniihkimiksaakio'p,,ohtáíkkiniihkimiksaakio'p,NA,"""@R.person.NULL@""",
iihtáíkkiniihkimiksaakio'pa,,%^SPomohtáíkkiniihkimiksaakihp,ohtáíkkiniihkimiksaakihp,NA,"""@D.person.NULL@""",
iihtáíkkio'pa,iihtáíkkio'p,,ohtáíkkio'p,NA,"""@R.person.NULL@""",
iihtáíkkio'pa,,%^SPomohtáíkkihp,ohtáíkkihp,NA,"""@D.person.NULL@""",
iihtáíksistsikomio'pa,iihtáíksistsikomio'p,,ohtáíksistsikomio'p,NA,"""@R.person.NULL@""",
iihtáíksistsikomio'pa,,%^SPomohtáíksistsikomihp,ohtáíksistsikomihp,NA,"""@D.person.NULL@""",
iihtáíksisttoksaakio'pa,iihtáíksisttoksaakio'p,,ohtáíksisttoksaakio'p,NA,"""@R.person.NULL@""",
iihtáíksisttoksaakio'pa,,%^SPomohtáíksisttoksaakihp,ohtáíksisttoksaakihp,NA,"""@D.person.NULL@""",
iihtáípiinakio'pa,iihtáípiinakio'p,,ohtáípiinakio'p,NA,"""@R.person.NULL@""",
iihtáípiinakio'pa,,%^SPomohtáípiinakihp,ohtáípiinakihp,NA,"""@D.person.NULL@""",
iihtáípii'poyo'pa,iihtáípii'poyo'p,,ohtáípii'poyo'p,NA,"""@R.person.NULL@""",
iihtáípii'poyo'pa,,%^SPomohtáípii'poyihp,ohtáípii'poyihp,NA,"""@D.person.NULL@""",
iihtáípiksao'pa,iihtáípiksao'p,,ohtáípiksao'p,NA,"""@R.person.NULL@""",
iihtáípiksao'pa,,%^SPomohtáípiksahp,ohtáípiksahp,NA,"""@D.person.NULL@""",
iihtáípiyoohtsimio'pa,iihtáípiyoohtsimio'p,,ohtáípiyoohtsimio'p,NA,"""@R.person.NULL@""",
iihtáípiyoohtsimio'pa,,%^SPomohtáípiyoohtsimihp,ohtáípiyoohtsimihp,NA,"""@D.person.NULL@""",
iihtáíppotsipistao'pa,iihtáíppotsipistao'p,,ohtáíppotsipistao'p,NA,"""@R.person.NULL@""",
iihtáíppotsipistao'pa,,%^SPomohtáíppotsipistahp,ohtáíppotsipistahp,NA,"""@D.person.NULL@""",
