PS/noohk,noohk,%^SPinoohk,oohk,PSBOUND2,,cf noohkatt
PS/noohkatt,noohkatt,%^SPinoohkatt,oohkatt,PSBOUND2,,
PS/noohkíít,noohkíít,yoohkíít,yoohkíít,PSBOUND2,,pers assumed
PS/ohk,ohk,ohk,ohk,PSBOUND2,,"initial, pers assumed"
PS/ohkan,ohkan,ohkan,ohkan,PSBOUND2,,also kan initially
PS/ohkan,kan,,,PSBOUND2,,also kan initially
PS/ohkana,ohkana,ohkana,ohkana,PSBOUND2,,also kan initially
PS/ohkana,kana,,,PSBOUND2,,also kan initially
PS/ohkit,ohkit,ohkit,ohkit,PSBOUND2,,
PS/ohkit,kit,,,PSBOUND2,,
PS/ohko,ohko,ohko,ohko,PSBOUND2,,homophones seem to behave the same
PS/ohkom,kom,ohkom,ohkom,PSBOUND2,,
PS/ohkon,ohkon,ohkon,ohkon,PSBOUND2,,
PS/ohkott,ohkott,ohkott,ohkott,PSBOUND2,,
PS/ohpii(w/y),ohpiiG,ohpiiG,ohpiiG,PSBOUND2,,
PS/ohpiistap,ohpiistap,ohpiistap,ohpiistap,PSBOUND2,,"initial, pers assumed"
PS/ohpo,ohpo,ohpo,ohpo,PSBOUND2,,
PS/ohpok,ohpok,ohpok,ohpok,PSBOUND2,,
PS/ohpok,pok,,,PSBOUND2,,
PS/ohpo'kii,ohpo'kii,ohpo'kii,ohpo'kii,PSBOUND2,,
PS/ohpo'kii,po'kii,,,PSBOUND2,,
PS/ohs,ohs,ohs,ohs,PSBOUND2,,"only in paper dictionary, initial, elsewhere assumed"
PS/ohsohkat,oohsohkat,ohsohkat,ohsohkat,PSBOUND2,,oo initially?
PS/ohso'kap,oohso'kap,ohso'kap,ohso'kap,PSBOUND2,,
PS/ohso'kap,so'kap,,,PSBOUND2,,
PS/oht,iiht,%^SPomoht,oht,PSBOUND2,,
PS/ohtahtsiwa,ohtahtsiwa,ohtahtsiwa,ohtahtsiwa,PSBOUND2,,"only in grammar, forms assumed (could behave like oht?)"
PS/ohto(w/y),ohtoG,ohtoG,ohtG,PSBOUND2,,pers assumed
PS/ohtssap,ohtssap,%^SPomohtssap,ohtssap,PSBOUND2,,
PS/o'k,o'k,o'k,o'k,PSBOUND2,,
PS/okaki,okaki,okaki,okaki,PSBOUND2,,
PS/okaki,mokaki,,,PSBOUND2,,
PS/oka'p,maka'p,oka'p,oka'p,PSBOUND2,,
PS/oka'p,oka'p,,,PSBOUND2,,
PS/o'kia'p,o'kia'p,o'kia'p,o'kia'p,PSBOUND2,,"pers, elsewhere assumed"
PS/o'kio(w/y),o'kioG,o'kioG,o'kioG,PSBOUND2,,pers assumed
